Item,Amount,Minimizer,Method,Assemblers,Execution Time (seconds)
copper-cable,200,1,build_belts,"{'copper-cable': 2, 'copper-plate': 0}",0.016008300000976305
copper-cable,200,1,solve,"{'copper-cable': 2, 'copper-plate': 0}",0.5782895000011194
copper-cable,200,1,build_belts,"{'copper-cable': 2, 'copper-plate': 0}",0.014172900002449751
copper-cable,200,1,solve,"{'copper-cable': 2, 'copper-plate': 0}",0.5850677999987965
copper-cable,200,1,build_belts,"{'copper-cable': 2, 'copper-plate': 0}",0.014402300002984703
copper-cable,300,1,solve,"{'copper-cable': 3, 'copper-plate': 0}",1.9205541999981506
copper-cable,300,1,build_belts,"{'copper-cable': 3, 'copper-plate': 0}",0.029281999995873775
copper-cable,300,1,solve,"{'copper-cable': 3, 'copper-plate': 0}",2.275339499996335
copper-cable,300,1,build_belts,"{'copper-cable': 3, 'copper-plate': 0}",0.025417400000151247
copper-cable,300,1,solve,"{'copper-cable': 3, 'copper-plate': 0}",1.9919724999999744
copper-cable,300,1,build_belts,"{'copper-cable': 3, 'copper-plate': 0}",0.028088600003684405
copper-cable,300,1,solve,"{'copper-cable': 3, 'copper-plate': 0}",2.1660221999991336
copper-cable,300,1,build_belts,"{'copper-cable': 3, 'copper-plate': 0}",0.027940799998759758
copper-cable,300,1,solve,"{'copper-cable': 3, 'copper-plate': 0}",1.8326847999996971
copper-cable,300,1,build_belts,"{'copper-cable': 3, 'copper-plate': 0}",0.029288800003996585
copper-cable,300,1,solve,"{'copper-cable': 3, 'copper-plate': 0}",1.9152017000014894
copper-cable,300,1,build_belts,"{'copper-cable': 3, 'copper-plate': 0}",0.02825900000607362
copper-cable,300,1,solve,"{'copper-cable': 3, 'copper-plate': 0}",1.9753233000010368
copper-cable,300,1,build_belts,"{'copper-cable': 3, 'copper-plate': 0}",0.028761399997165427
copper-cable,300,1,solve,"{'copper-cable': 3, 'copper-plate': 0}",1.9529706000030274
copper-cable,300,1,build_belts,"{'copper-cable': 3, 'copper-plate': 0}",0.0280270000002929
copper-cable,300,1,solve,"{'copper-cable': 3, 'copper-plate': 0}",2.046836000001349
copper-cable,300,1,build_belts,"{'copper-cable': 3, 'copper-plate': 0}",0.03163680000579916
copper-cable,300,1,solve,"{'copper-cable': 3, 'copper-plate': 0}",1.9793195000020205
copper-cable,300,1,build_belts,"{'copper-cable': 3, 'copper-plate': 0}",0.031445399996300694
copper-cable,400,1,solve,"{'copper-cable': 4, 'copper-plate': 0}",3.8135377999933553
copper-cable,400,1,build_belts,"{'copper-cable': 4, 'copper-plate': 0}",0.038148999999975786
copper-cable,400,1,solve,"{'copper-cable': 4, 'copper-plate': 0}",3.3804220000019995
copper-cable,400,1,build_belts,"{'copper-cable': 4, 'copper-plate': 0}",0.037706000002799556
copper-cable,400,1,solve,"{'copper-cable': 4, 'copper-plate': 0}",3.227242100001604
copper-cable,400,1,build_belts,"{'copper-cable': 4, 'copper-plate': 0}",0.0378255999967223
copper-cable,400,1,solve,"{'copper-cable': 4, 'copper-plate': 0}",3.49607890000334
copper-cable,400,1,build_belts,"{'copper-cable': 4, 'copper-plate': 0}",0.03876940000191098
copper-cable,400,1,solve,"{'copper-cable': 4, 'copper-plate': 0}",3.4725213999990956
copper-cable,400,1,build_belts,"{'copper-cable': 4, 'copper-plate': 0}",0.03972769999381853
copper-cable,400,1,solve,"{'copper-cable': 4, 'copper-plate': 0}",3.2169075999991037
copper-cable,400,1,build_belts,"{'copper-cable': 4, 'copper-plate': 0}",0.03971830000227783
copper-cable,400,1,solve,"{'copper-cable': 4, 'copper-plate': 0}",4.2960573000018485
copper-cable,400,1,build_belts,"{'copper-cable': 4, 'copper-plate': 0}",0.04184180000447668
copper-cable,400,1,solve,"{'copper-cable': 4, 'copper-plate': 0}",3.9270830000023125
copper-cable,400,1,build_belts,"{'copper-cable': 4, 'copper-plate': 0}",0.03834410000126809
copper-cable,400,1,solve,"{'copper-cable': 4, 'copper-plate': 0}",3.4583929000000353
copper-cable,400,1,build_belts,"{'copper-cable': 4, 'copper-plate': 0}",0.038965199993981514
copper-cable,400,1,solve,"{'copper-cable': 4, 'copper-plate': 0}",3.985306999995373
copper-cable,400,1,build_belts,"{'copper-cable': 4, 'copper-plate': 0}",0.03892239999549929
copper-cable,500,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",10.651133400002436
copper-cable,500,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.06861110000318149
copper-cable,500,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",9.980597899993882
copper-cable,500,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.06780850000359351
copper-cable,500,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",13.530654700000014
copper-cable,500,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.06796980000217445
copper-cable,500,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",9.796945199996117
copper-cable,500,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.07041120000212686
copper-cable,500,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",11.335916600000928
copper-cable,500,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.07241699999576667
copper-cable,500,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",9.723392499996407
copper-cable,500,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.0763477000000421
copper-cable,500,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",13.897165499998664
copper-cable,500,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.08535419999680016
copper-cable,500,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",12.56555120000121
copper-cable,500,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.08236050000414252
copper-cable,500,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",11.292493699998886
copper-cable,500,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.0766866000049049
copper-cable,500,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",12.958112499996787
copper-cable,500,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.07371150000108173
copper-cable,600,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",11.000397499999963
copper-cable,600,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.07231750000210013
copper-cable,600,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",10.264578599999368
copper-cable,600,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.07110790000297129
copper-cable,600,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",10.848615400005656
copper-cable,600,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.07769200000620913
copper-cable,600,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",10.940006600001652
copper-cable,600,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.07054799999605166
copper-cable,600,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",12.525202299999364
copper-cable,600,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.07039559999975609
copper-cable,600,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",9.761910100001842
copper-cable,600,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.07349909999902593
copper-cable,600,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",10.264348899996548
copper-cable,600,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.07400459999917075
copper-cable,600,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",11.375107499996375
copper-cable,600,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.07187529999646358
copper-cable,600,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",10.587946699997701
copper-cable,600,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.07333659999858355
copper-cable,600,1,solve,"{'copper-cable': 5, 'copper-plate': 0}",13.066810500000429
copper-cable,600,1,build_belts,"{'copper-cable': 5, 'copper-plate': 0}",0.08951940000406466
copper-cable,700,1,solve,"{'copper-cable': 6, 'copper-plate': 0}",26.931283500001882
copper-cable,700,1,build_belts,"{'copper-cable': 6, 'copper-plate': 0}",2.430380600002536
copper-cable,700,1,solve,"{'copper-cable': 6, 'copper-plate': 0}",25.597599399996398
copper-cable,700,1,build_belts,"{'copper-cable': 6, 'copper-plate': 0}",1.7695949000044493
copper-cable,700,1,solve,"{'copper-cable': 6, 'copper-plate': 0}",37.433125200004724
copper-cable,700,1,build_belts,"{'copper-cable': 6, 'copper-plate': 0}",2.729656299998169
copper-cable,700,1,solve,"{'copper-cable': 6, 'copper-plate': 0}",35.6932500000039
copper-cable,700,1,build_belts,"{'copper-cable': 6, 'copper-plate': 0}",2.584215900002164
copper-cable,700,1,solve,"{'copper-cable': 6, 'copper-plate': 0}",32.48192510000081
copper-cable,700,1,build_belts,"{'copper-cable': 6, 'copper-plate': 0}",2.5741162999984226
copper-cable,700,1,solve,"{'copper-cable': 6, 'copper-plate': 0}",32.17586499999743
copper-cable,700,1,build_belts,"{'copper-cable': 6, 'copper-plate': 0}",2.083218300002045
copper-cable,700,1,solve,"{'copper-cable': 6, 'copper-plate': 0}",36.67876460000116
copper-cable,700,1,build_belts,"{'copper-cable': 6, 'copper-plate': 0}",2.41935700000613
copper-cable,700,1,solve,"{'copper-cable': 6, 'copper-plate': 0}",37.82341170000291
copper-cable,700,1,build_belts,"{'copper-cable': 6, 'copper-plate': 0}",1.9485349000024144
copper-cable,700,1,solve,"{'copper-cable': 6, 'copper-plate': 0}",28.997820800002955
copper-cable,700,1,build_belts,"{'copper-cable': 6, 'copper-plate': 0}",2.534812599995348
copper-cable,700,1,solve,"{'copper-cable': 6, 'copper-plate': 0}",25.34995579999668
copper-cable,700,1,build_belts,"{'copper-cable': 6, 'copper-plate': 0}",2.6923602999959257
copper-cable,800,1,solve,"{'copper-cable': 7, 'copper-plate': 0}",120.8402261999945
copper-cable,800,1,build_belts,"{'copper-cable': 7, 'copper-plate': 0}",44.392971399996895
copper-cable,800,1,solve,"{'copper-cable': 7, 'copper-plate': 0}",149.09506160000456
copper-cable,800,1,build_belts,"{'copper-cable': 7, 'copper-plate': 0}",47.05286370000249
copper-cable,800,1,solve,"{'copper-cable': 7, 'copper-plate': 0}",133.47493730000133
copper-cable,800,1,build_belts,"{'copper-cable': 7, 'copper-plate': 0}",22.960186299998895
copper-cable,800,1,solve,"{'copper-cable': 7, 'copper-plate': 0}",105.26927099999739
copper-cable,800,1,build_belts,"{'copper-cable': 7, 'copper-plate': 0}",49.16261839999788
copper-cable,800,1,solve,"{'copper-cable': 7, 'copper-plate': 0}",141.8383682000058
copper-cable,800,1,build_belts,"{'copper-cable': 7, 'copper-plate': 0}",33.2634670999978
copper-cable,800,1,solve,"{'copper-cable': 7, 'copper-plate': 0}",118.66808190000302
copper-cable,800,1,build_belts,"{'copper-cable': 7, 'copper-plate': 0}",31.04283740000392
